Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;;;;;;;;;;;
INS_Vverblijfsjaar_continu_soort_HO;VerblijfsjaarContinuSoortHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_continu_actuele_instelling;VerblijfsjaarContinuActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Verbliijfsjaar_continu_type_HO_binnen_HO;VerblijfsjaarContinuTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
OPL_Indicatie_University_College;IndicatieUniversityCollege;TRUE;;;;;;;;;;;;;;;;;
OPL_ISCEDF_2013_rubriek;ISCEDF2013Rubriek;TRUE;;;;;;;;;;;;;;;;;
DEM_Herkomst_land_volgens_CBS;HerkomstlandVolgensCbsDefinitie;TRUE;;;;;;;;;;;;;;;;;
DEM_Herkomst_indikking_volgens_CBS;HerkomstIndikkingVolgensCbsDefinitie;TRUE;;;;;;;;;;;;;;;;;
DEM_Indicatie_geboren;IndicatieGeboren;TRUE;;;;;;;;;;;;;;;;;
DEM_Burgerservicenummer;Burgerservicenummer;TRUE;;;;;;;;;;;;;;;;;
DEM_Onderwijsnummer;Onderwijsnummer;TRUE;;;;;;;;;;;;;;;;;
