from;to
05156;Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands
05157;3egr nederlands
05158;Pedagogiek
05159;Opleiding tot leraar voortgezet onderwijs van de tweede graad in pedagogiek
05160;Hogere kaderopleiding pedagogiek
05161;Opleiding tot leraar voortgezet onderwijs van de tweede graad in scheikunde
05162;3egr scheikunde
05163;L.O. spaans
05164;Opleiding tot leraar voortgezet onderwijs van de tweede graad in Spaans
05165;3egr spaans
05166;3egr turks
05167;2egr verpleegkunde
05168;Wiskunde
05169;L.O. wiskunde
05170;Opleiding tot leraar voortgezet onderwijs van de tweede graad in wiskunde
05171;3egr wiskunde
05172;3egr godsdienst
05173;MO-O geschiedenis
05174;Handelswetenschappen mo-o
05175;Opleiding tot leraar voortgezet onderwijs van de tweede graad in verzorging/huishoudkunde
05176;Staathuishoudkunde mo-o
05177;Opleiding tot leraar voortgezet onderwijs van de tweede graad in godsdienst
05178;3egr biologie
05179;Opleiding tot leraar voortgezet onderwijs van de tweede graad in tekenen
05180;Geschiedenis 2egr 2vak
05181;Opleiding tot leraar voortgezet onderwijs van de tweede graad in textiele werkvormen
05182;Opleiding tot leraar voortgezet onderwijs van de tweede graad in russisch
05183;Opleiding tot leraar voortgezet onderwijs van de eerste graad in algemene economie
05184;Opleiding tot leraar voortgezet onderwijs van de eerste graad in bedrijfseconomie
05185;Opleiding tot leraar voortgezet onderwijs van de tweede graad in arabisch
05186;Opleiding tot leraar voortgezet onderwijs van de tweede graad in Turks
05187;Opleiding tot leraar voortgezet onderwijs van de tweede graad in algemene economie
05188;Opleiding tot leraar voortgezet onderwijs van de tweede graad in bedrijfseconomie
05189;Opleiding tot leraar voortgezet onderwijs van de tweede graad in techniek
05190;Opleiding tot leraar voortgezet onderwijs van de tweede graad in maatschappijleer
05191;Opleiding tot leraar voortgezet onderwijs van de tweede graad in omgangskunde
05192;Opleiding tot leraar voortgezet onderwijs van de tweede graad in verzorging/gezondheidskunde
05193;Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits
05194;Economie 2egr
05195;Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels
